Albánie;Tirana
Kongo-Kinshasa;Kinshasa
Lesotho;Maseru
Libérie;Monrovia
Libye;Tripolis
Madagaskar;Antananarivo
Madeira (Portugalsko);Funchal
Malawi;Lilongwe
Mali;Bamako
Maroko;Rabat
Mauricius;Port Louis
Mauritánie;Nuakšott
Mayotte (Francie);Mamoudzou
Melilla (Španělsko);Melilla
Mosambik;Maputo
Namibie;Windhoek
Niger;Niamey
Nigérie;Abuja
Pobřeží slonoviny;Yamoussoukro
Puntland (Somálsko);Garoowe
Réunion (Francie);Saint-Denis
Rovníková Guinea;Malabo
Roztroušené ostrovy (Francie);Saint-Christophe
Rwanda;Kigali
Senegal;Dakar
Seychely;Victoria
Sierra Leone;Freetown
Sokotra (Jemen);Hadibo
Somaliland (Somálsko);Hargeysa
Somálsko;Mogadišu
Středoafrická republika;Bangui
Súdán;Chartúm
Svatá Helena, Ascension a Tristan da Cunha;Jamestown
Svatý Tomáš a Princův ostrov;Sao Tome
Svazijsko;Mbabane
Španělské severoafrické državy;Ceuta a Melilla
Tanzanie;Dodoma
Togo;Lomé
Tunisko;Tunis
Uganda;Kampala
Zambie;Lusaka
Zanzibar (Tanzanie);Zanzibar
Západní Sahara (Maroko);Al-Ajún
Zimbabwe;Harare
